,title,genre,rating,rating_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
522,"Reed Anthony, Cowman",Western,3.8,65,0.06689999997615814,0.18520000576972961,0.03150000050663948,0.12479999661445618,0.18119999766349792,0.10400000214576721,0.05849999934434891,0.24789999425411224
523,Wells Brothers,Western,3.97,139,0.07609999924898148,0.15719999372959137,0.04619999974966049,0.13189999759197235,0.16419999301433563,0.11999999731779099,0.0608999989926815,0.2434999942779541
524,A Texas Matchmaker,Western,3.51,55,0.060499999672174454,0.17820000648498535,0.04050000011920929,0.10270000249147415,0.20520000159740448,0.10559999942779541,0.06350000202655792,0.24379999935626984
525,The Outlet,Western,3.77,22,0.07410000264644623,0.17260000109672546,0.04360000044107437,0.1387999951839447,0.15189999341964722,0.10859999805688858,0.0575999990105629,0.25279998779296875
526,Slave Planet,Science Fiction,3.84,990,0.09430000185966492,0.13349999487400055,0.05249999836087227,0.15189999341964722,0.14869999885559082,0.12600000202655792,0.06509999930858612,0.2280000001192093
527,The Log of a Cowboy,Western,3.98,650,0.0754999965429306,0.16259999573230743,0.04259999841451645,0.14229999482631683,0.15850000083446503,0.10849999636411667,0.07029999792575836,0.23980000615119934
528,Cattle Brands,Western,3.54,133,0.09080000221729279,0.14550000429153442,0.05209999904036522,0.14259999990463257,0.15860000252723694,0.12370000034570694,0.061400000005960464,0.22529999911785126
529,Only a Girl's Love,Movie Books,3.86,7,0.06599999964237213,0.12849999964237213,0.04610000178217888,0.09589999914169312,0.25600001215934753,0.11389999836683273,0.0640999972820282,0.22939999401569366
530,FROM THE MEMOIRS OF A MINISTER OF FRANCE,Historical Fiction,3.29,7,0.10010000318288803,0.13840000331401825,0.06129999831318855,0.133200004696846,0.15330000221729279,0.13989999890327454,0.07760000228881836,0.19609999656677246
531,Audio Book,Historical Fiction,4.4,1,0.06069999933242798,0.13809999823570251,0.0340999998152256,0.051899999380111694,0.13850000500679016,0.08139999955892563,0.026599999517202377,0.46860000491142273
532,THE HOUSE OF THE WOLF,Historical Fiction,3.75,240,0.11789999902248383,0.12800000607967377,0.06520000100135803,0.16689999401569366,0.14380000531673431,0.1469999998807907,0.06920000165700912,0.16200000047683716
533,IN THE PALACE OF THE KING,Historical Fiction,3.14,14,0.09189999848604202,0.11940000206232071,0.061400000005960464,0.13840000331401825,0.1818999946117401,0.1404000073671341,0.05950000137090683,0.2070000022649765
534,Vol.9,Historical Fiction,4.48,160,0.08110000193119049,0.12770000100135803,0.06289999932050705,0.12399999797344208,0.16009999811649323,0.13619999587535858,0.07249999791383743,0.23549999296665192
535,BY PIKE AND DYKE,Historical Fiction,3.7,326,0.1006999984383583,0.16439999639987946,0.045499999076128006,0.14550000429153442,0.14810000360012054,0.11240000277757645,0.05999999865889549,0.2231999933719635
536,Vol.7,Historical Fiction,4.21,199,0.10090000182390213,0.10729999840259552,0.06469999998807907,0.14300000667572021,0.17190000414848328,0.13519999384880066,0.06620000302791595,0.21080000698566437
537,Vol.8,Historical Fiction,4.48,161,0.09839999675750732,0.12080000340938568,0.061500001698732376,0.1339000016450882,0.19370000064373016,0.1347000002861023,0.06030000001192093,0.19670000672340393
